_id,name,cuisines,address,locationRate,qualityRate,serviceRate,priceRate,spaceRate,avgRating,priceRange,timeOpen,Final_Score_Normalized,average_score,classification
67812ec1514dba6089ed947b,Pioko Bà Tô - Bánh Gà Con,Món Việt,"60 Huỳnh Minh Thạnh, P. Phước Bửu, Huyện Xuyên Mộc, Vũng Tàu",5.0,5.0,5.0,5.0,5.0,5.0,10.000đ - 20.000đ,09:00 - 21:00,6.019230769230769,5.509615384615385,Neutral
67812ec1514dba6089ed9437,Vú Heo Hằng - Vành Đai Trong,empty,"280 Vành Đai Trong, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",5.0,5.0,5.0,5.0,5.0,5.0,35.000đ - 70.000đ,16:00 - 22:30,6.019230769230769,5.509615384615385,Neutral
67812ec1514dba6089ed930f,Bún Cá Châu Đốc Cô Tư,Món Việt,"Lê Hồng Phong, Thành Phố Thủ Dầu Một, Bình Dương",5.0,5.0,5.0,5.0,5.0,5.0,20.000đ - 30.000đ,06:00 - 21:00,6.019230769230769,5.509615384615385,Neutral
67812ec1514dba6089ed92fc,Bánh Tráng Ngọc Dung - Shop Online,Món Việt,"53B4 Nguyễn Cư Trinh, Thị Xã Phú Mỹ, Vũng Tàu",5.0,5.0,5.0,5.0,5.0,5.0,2.000đ - 25.000đ,09:00 - 22:00,6.019230769230769,5.509615384615385,Neutral
67812ec1514dba6089ed93d6,Cơm Tấm Chị Cám - Nguyễn Đình Chính,Món Việt,"2 Nguyễn Đình Chính, Quận Phú Nhuận, TP. HCM",5.5,5.5,5.5,5.5,5.5,5.5,25.000đ - 40.000đ,06:00 - 12:00 | 16:00 - 20:00,5.5,5.5,Neutral
67812ec1514dba6089ed940e,Giác Duyên - Nhà Hàng Chay - Vegan,Món Việt,"133 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",6.0,5.2,5.0,5.2,5.9,5.46,20.000đ - 70.000đ,07:00 - 21:00,5.516555183946489,5.488277591973244,Neutral
67812ec1514dba6089ed9478,"Highlands Coffee - Trà, Cà Phê & Bánh - Hoàng Hoa Thám VT",Món Việt,"148 Hoàng Hoa Thám, P. 2, Tp. Vũng Tàu, Vũng Tàu",6.9,6.2,5.7,6.1,6.7,6.32,9.000đ - 65.000đ,07:00 - 23:00,4.655384615384615,5.487692307692308,Neutral
67812ec1514dba6089ed931b,Ông Tây Quán - Chuyên Các Món Ăn Á & Ấu,"Món Việt, Mỹ, Mexico, Ý","Hoàng Văn Thụ, KDC Chánh Nghĩa, Thành Phố Thủ Dầu Một, Bình Dương",6.0,5.6,2.8,5.0,5.8,5.04,250.000đ - 2.000.000đ,14:00 - 21:00,5.92923076923077,5.484615384615385,Neutral
67812ec1514dba6089ed9483,Trà Sữa Gia Mẫn,Món Việt,"490 Trương Công Định, P. 8, Tp. Vũng Tàu, Vũng Tàu",7.2,5.4,3.4,4.0,6.0,5.2,12.000đ - 20.000đ,09:00 - 22:00,5.73076923076923,5.465384615384615,Neutral
67812ec1514dba6089ed9495,Bún Bò Huế Chú Há,Món Miền Trung,"300 Võ Văn Tần, Quận 3, TP. HCM",6.4,5.6,4.8,4.9,5.6,5.46,45.000đ - 61.000đ,empty,5.46,5.46,Neutral
